unidade;setor_centro_custo;ano;mes;obito_hospitalar;obito_institucional;saidas;tx_mort_hospitalar;tx_mort_institucional
CHPB;AMBULATORIO DE SAUDE MENTAL;2019;5;0;0;1;0,0;0,0
CHPB;AMBULATORIO DE SAUDE MENTAL;2020;2;0;0;1;0,0;0,0
CHPB;AMBULATORIO DE SAUDE MENTAL;2021;9;0;0;1;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;1;0;0;30;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;2;0;0;30;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;3;0;0;24;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;4;0;0;20;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;5;0;0;32;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;6;0;0;23;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;7;0;0;23;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;8;0;0;27;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;9;0;0;28;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;10;0;0;34;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;11;0;0;25;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;12;0;0;30;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;1;0;0;36;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;2;0;0;30;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;3;0;0;35;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;4;0;0;22;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;5;0;0;17;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;6;0;0;17;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;7;0;0;24;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;8;0;0;25;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;9;0;0;22;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;10;0;0;23;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;11;0;0;19;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;12;0;0;31;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;1;0;0;30;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;2;0;0;28;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;3;0;0;9;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;8;0;0;24;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;9;0;0;22;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;10;0;0;24;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;11;0;0;31;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;12;0;0;24;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;1;0;0;27;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;2;0;0;22;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;3;0;0;31;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;4;0;0;26;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;5;0;0;43;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;6;0;0;29;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;7;0;0;37;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;8;0;0;25;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;9;0;0;22;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;10;0;0;36;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;11;0;0;25;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;12;0;0;28;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;1;0;0;24;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;2;0;0;34;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;3;0;0;18;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;4;0;0;29;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;5;0;0;26;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;6;0;0;21;0,0;0,0
CHPB;CAC/CHPB/CHB;2024;9;1;1;1;1,0;1,0
CHPB;CAC/CHPB/CHB;2024;11;0;0;1;0,0;0,0
CHPB;CAC/CHPB/CHB;2025;1;0;0;1;0,0;0,0
CHPB;CAC/CHPB/CHB;2025;10;0;0;1;0,0;0,0
CHPB;CAC/CHPB/CHB;2026;2;2;2;2;1,0;1,0
CHPB;CAC/CHPB/CHB;2026;6;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2021;11;0;0;6;0,0;0,0
CHPB;LAR INCLUSIVO;2021;12;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;1;0;0;3;0,0;0,0
CHPB;LAR INCLUSIVO;2022;4;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;6;0;0;6;0,0;0,0
CHPB;LAR INCLUSIVO;2022;7;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;8;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;11;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2023;2;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2023;4;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;8;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;12;0;0;4;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;1;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;5;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;6;1;1;1;1,0;1,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;9;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2026;2;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2026;5;0;0;6;0,0;0,0
CHPB;LAR INCLUSIVO B;2021;3;0;0;1;0,0;0,0
